raw_name,canonical_name,product_id
Lifesteam Бъз,Lifesteam Бъз,364
Lindt вафла 26г,Lindt вафла 26г,365
Lindt календар 170г,Lindt календар 170г,366
Lindt класик200г,Lindt класик200г,367
Lindtасорти корнет,Lindtасорти корнет,368
MP.Авто комплект,MP.Авто комплект,369
Medix течен сапун,Medix течен сапун,370
Meglio препарат баня,Meglio препарат баня,371
Merci шок.бонб400г,Merci шок.бонб400г,372
MildeТоал.хар.32+8,MildeТоал.хар.32+8,373
Milka десерти 96г,Milka десерти 96г,374
Misko нав.фиде250,Misko нав.фиде250,375
Molped превръзки 7бр,Molped превръзки 7бр,376
"Moment Fix 1,5х19","Moment Fix 1,5х19",377
"Moretti 0,33 л.","Moretti 0,33 л.",378
Mozart бонбони 297г,Mozart бонбони 297г,379
NL.Мъжка тениска,NL.Мъжка тениска,380
Nescafe classic250,Nescafe classic250,381
Nesquik 375 гр,Nesquik 375 гр,382
Nesquik DUO 325 гр,Nesquik DUO 325 гр,383
Nesquik plus 400гр,Nesquik plus 400гр,384
NesquikТунк.ваф.26г,NesquikТунк.ваф.26г,385
O.B. тампони 16бр,O.B. тампони 16бр,386
O.B. тампони 8бр,O.B. тампони 8бр,387
"Olympus Био КМ 3,6%","Olympus Био КМ 3,6%",388
"Olympus КМ 3,6% 400г","Olympus КМ 3,6% 400г",389
PA. К-кт четки,PA. К-кт четки,390
PA.Воден пистолет,PA.Воден пистолет,391
PA.Дискова четка,PA.Дискова четка,392
PA.Лопатка,PA.Лопатка,393
PA.Органайзер,PA.Органайзер,394
PA.Ръчна количка,PA.Ръчна количка,395
PA.Садило EcoLine,PA.Садило EcoLine,396
PFANNER Праскова,PFANNER Праскова,397
PUEDO Мек Пъзел mix,PUEDO Мек Пъзел mix,398
Paladin Синьо сир100,Paladin Синьо сир100,399
Pampers гащиPrem.,Pampers гащиPrem.,400
Pampers кърпи 48бр.,Pampers кърпи 48бр.,401
Paw Patrol пъзел,Paw Patrol пъзел,402
Peak Out 80 гр,Peak Out 80 гр,403
Perrier 1 л. PET,Perrier 1 л. PET,404
Pfanner Morning,Pfanner Morning,405
Philips MicroSDкартa,Philips MicroSDкартa,406
Picantina Канела 10,Picantina Канела 10,407
President Кр. Сирене,President Кр. Сирене,408
Prisun Ябълка,Prisun Ябълка,409
Queens Disney банан,Queens Disney банан,410
Riso Gallo ориз,Riso Gallo ориз,411
Rocher Т24 бонбони,Rocher Т24 бонбони,412
Rois Фурма,Rois Фурма,413
Rois кашу 120г,Rois кашу 120г,414
"S&S чаша 0,2л,4бр","S&S чаша 0,2л,4бр",415
Чаша,"S&S чаша 0,2л,4бр",415
STerra кола газ.н-ка,STerra кола газ.н-ка,416
Sanitex т.хартия 4бр,Sanitex т.хартия 4бр,417
Schweppes Тоник,Schweppes Тоник,418
Scotti Био Овес 1л,Scotti Био Овес 1л,419
Selpak тоал.х-я 32бр,Selpak тоал.х-я 32бр,420
Sensodyne паста зъби,Sensodyne паста зъби,421
Sheron препарат,Sheron препарат,422
Silver пяна 150 мл.,Silver пяна 150 мл.,423
Smarties дражета 38г,Smarties дражета 38г,424
Sole Mio сухар 125г,Sole Mio сухар 125г,425
Splat паста за зъби,Splat паста за зъби,426
Starbucks напитка,Starbucks напитка,427
"Starobrno 0,5 л кен","Starobrno 0,5 л кен",428
"Stella Artois 0,33","Stella Artois 0,33",429
TS.Ножици к-кт,TS.Ножици к-кт,430
TS.Палитра,TS.Палитра,431
"Tanqueray 0,0% 0,7л","Tanqueray 0,0% 0,7л",432
Taste itТорта560г,Taste itТорта560г,433
Trefl Пъзел 100ел.,Trefl Пъзел 100ел.,434
Trefl Пъзел 24 maxi,Trefl Пъзел 24 maxi,435
Twix десерт 50г,Twix десерт 50г,436
VARTA Батерии,VARTA Батерии,437
VARTA Батерия,VARTA Батерии,437
Varta батерии,VARTA Батерии,437
Varta батерии C 2 бр,VARTA Батерии,437
Veda Оцет винен 500,Veda Оцет винен 500,438
Vileda Вл. Кърпа 5бр,Vileda Вл. Кърпа 5бр,439
Vileda гъба 10 бр,Vileda гъба 10 бр,440
Vileda кухн.гъба 2бр,Vileda кухн.гъба 2бр,441
Wolf Maxi Mix100гр,Wolf Maxi Mix100гр,442
Wolf Maxi Mix250гр,Wolf Maxi Mix250гр,443
YoPRO Страчатела,YoPRO Страчатела,444
YoPRO пудинг ванилия,YoPRO пудинг ванилия,445
