product_id,canonical_name,display_name,brand,category,in_basket
324,K-Bio Овесена каша,,K-bio,,
325,K-Bio Прясно мляко,,K-bio,Мляко и млечни,
326,K-Bio Сладолед,,K-bio,,
327,K-Bio Чесън 100г бр,,K-bio,,
328,K-Bio Чушки биколор,,K-bio,Плодове и зеленчуци,
329,K-Fav Пармезан 100г,,K-fav,Сирене и кашкавал,
330,K-Fav Пармезан 125г,,K-fav,Сирене и кашкавал,
331,K-bio зеленчуци,,K-bio,Плодове и зеленчуци,
332,K.Солен сир150гр,,K,Основни храни,
333,K.Соленки 150гр,,K,Основни храни,
334,KI.Дърв. аксесоари,,KI,,
335,KI.Мебели,,KI,Дом и бит,
336,KI.Настолна игра,,KI,,
337,KLC 3пл. 10бр,,KLC,,
338,KLC Гауда слайс 300г,,KLC,Сирене и кашкавал,
339,KLC Ементал 150г,,KLC,,
340,KLC Моцарела мини125,,KLC,Сирене и кашкавал,
341,KLC Овесена каша 65г,,KLC,,
342,KLC Скир натур 500г,,KLC,,
343,KLC Хляб 500г,,KLC,Хляб и тестени,1
344,KLC бакпулвер 5x12 г,,KLC,Основни храни,
345,KLC изпукани пуканки,,KLC,Захарни и снакс,
346,KLC кърп.за очила 54,,KLC,,
347,KLC снакс сол 125г,,KLC,Захарни и снакс,
348,KLC.Овесен.флейкс.,,KLC,,
349,KLC.Резерва за моп,,KLC,,
350,KLC.капс.каф.R.20бр,,KLC,,
351,KLC.кръглоз.ориз,,KLC,Основни храни,
352,KLC.осолена.шунка,,KLC,Месо и колбаси,
353,Kikkoman Соев сос,,Kikkoman,,
354,Kinder Surprise20г,,Kinder,Захарни и снакс,
355,Kinder зайче 55г,,Kinder,Захарни и снакс,
356,Kinder шок.фигурка,,Kinder,Захарни и снакс,
357,Kl.Дървена играчка,,Kl,Дом и бит,
358,Kартонени чaши 10бр.,,Kартонени,,
359,L&B WC Четка,,L&B,,
360,L&B.стикер,,L&B,,
361,L'OR Ристрето 10 бр,,L'OR,,
362,Lavazza мл.к.4х250г,,Lavazza,Кафе и чай,
363,Lesieur майонеза350г,,Lesieur,Основни храни,
364,Lifesteam Бъз,,Lifesteam,,
365,Lindt вафла 26г,,Lindt,Захарни и снакс,
366,Lindt календар 170г,,Lindt,Захарни и снакс,
367,Lindt класик200г,,Lindt,Захарни и снакс,
368,Lindtасорти корнет,,Lindt,Захарни и снакс,
369,MP.Авто комплект,,MP,,
370,Medix течен сапун,,Medix,Хигиена и козметика,
371,Meglio препарат баня,,Meglio,Дом и бит,
372,Merci шок.бонб400г,,Merci,,
373,MildeТоал.хар.32+8,,MildeТоал,Хигиена и козметика,
374,Milka десерти 96г,,Milka,Захарни и снакс,
375,Misko нав.фиде250,,Misko,,
376,Molped превръзки 7бр,,Molped,,
377,"Moment Fix 1,5х19",,Moment,,
378,"Moretti 0,33 л.",,Moretti,,
379,Mozart бонбони 297г,,Mozart,Захарни и снакс,
380,NL.Мъжка тениска,,NL,,
381,Nescafe classic250,,Nescafe,Кафе и чай,
382,Nesquik 375 гр,,Nesquik,,
383,Nesquik DUO 325 гр,,Nesquik,,
384,Nesquik plus 400гр,,Nesquik,,
385,NesquikТунк.ваф.26г,,NesquikТунк,,
386,O.B. тампони 16бр,,O,,
387,O.B. тампони 8бр,,O,,
388,"Olympus Био КМ 3,6%","Olympus Био кисело мляко  3,6%",Olympus,Мляко и млечни,1
389,"Olympus КМ 3,6% 400г","Olympus кисело мляко 3,6% 400г",Olympus,Мляко и млечни,1
390,PA. К-кт четки,,PA,,
391,PA.Воден пистолет,,PA,,
392,PA.Дискова четка,,PA,,
393,PA.Лопатка,,PA,,
394,PA.Органайзер,,PA,,
395,PA.Ръчна количка,,PA,,
396,PA.Садило EcoLine,,PA,,
397,PFANNER Праскова,,Pfanner,Плодове и зеленчуци,
398,PUEDO Мек Пъзел mix,,PUEDO,,
399,Paladin Синьо сир100,,Paladin,,
400,Pampers гащиPrem.,,Pampers,Бебешко,
401,Pampers кърпи 48бр.,,Pampers,Бебешко,
402,Paw Patrol пъзел,,Paw,,
403,Peak Out 80 гр,,Peak,,
404,Perrier 1 л. PET,,Perrier,,
405,Pfanner Morning,,Pfanner,Напитки,
406,Philips MicroSDкартa,,CR,,
407,Picantina Канела 10,,Picantina,,
408,President Кр. Сирене,,President,Сирене и кашкавал,
409,Prisun Ябълка,,Prisun,Плодове и зеленчуци,
410,Queens Disney банан,,Queens,Плодове и зеленчуци,
411,Riso Gallo ориз,,Riso,Основни храни,
412,Rocher Т24 бонбони,,Rocher,Захарни и снакс,
413,Rois Фурма,,Rois,,
414,Rois кашу 120г,,Rois,Захарни и снакс,
415,"S&S чаша 0,2л,4бр",,S&S,Дом и бит,
416,STerra кола газ.н-ка,,STerra,Напитки,
417,Sanitex т.хартия 4бр,,Sanitex,Дом и бит,
418,Schweppes Тоник,,Schweppes,Напитки,
419,Scotti Био Овес 1л,,Scotti,,
420,Selpak тоал.х-я 32бр,,Selpak,Хигиена и козметика,
421,Sensodyne паста зъби,,Sensodyne,Основни храни,
422,Sheron препарат,,Sheron,Дом и бит,
423,Silver пяна 150 мл.,,Silver,,
424,Smarties дражета 38г,,Smarties,,
425,Sole Mio сухар 125г,,Sole mio,Хляб и тестени,
